Detroit,Michigan,"673,104",359.5 km2,"1,871/km2",42.3830°N 83.1022°W
Nashville,Tennessee,"667,560","1,232.6 km2",536/km2,36.1718°N 86.7850°W
Memphis,Tennessee,"652,236",822.1 km2,794/km2,35.1028°N 89.9774°W
Portland,Oregon,"647,805",345.8 km2,"1,851/km2",45.5370°N 122.6500°W
Oklahoma City,Oklahoma,"643,648","1,570.3 km2",407/km2,35.4671°N 97.5137°W
Las Vegas,Nevada,"641,676",348.1 km2,"1,818/km2",36.2292°N 115.2601°W
Louisville,Kentucky,"621,349",682.5 km2,903/km2,38.1654°N 85.6474°W
Baltimore,Maryland,"611,648",209.5 km2,"2,934/km2",39.3000°N 76.6105°W
Milwaukee,Wisconsin,"595,351",249.2 km2,"2,388/km2",43.0633°N 87.9667°W
Albuquerque,New Mexico,"558,545",487.4 km2,"1,147/km2",35.1056°N 106.6474°W
Tucson,Arizona,"535,677",597.8 km2,888/km2,32.1531°N 110.8706°W
Fresno,California,"527,438",296.3 km2,"1,762/km2",36.7836°N 119.7934°W
Sacramento,California,"501,901",253.6 km2,"1,953/km2",38.5666°N 121.4686°W
Mesa,Arizona,"496,401",357.2 km2,"1,357/km2",33.4019°N 111.7174°W
Kansas City,Missouri,"488,943",815.8 km2,590/km2,39.1251°N 94.5510°W
Atlanta,Georgia,"486,290",345.8 km2,"1,366/km2",33.7629°N 84.4227°W
Long Beach,California,"469,450",130.3 km2,"3,609/km2",33.8092°N 118.1553°W
Omaha,Nebraska,"466,893",345.0 km2,"1,296/km2",41.2644°N 96.0451°W
Raleigh,North Carolina,"464,758",375.8 km2,"1,221/km2",35.8306°N 78.6418°W
Colorado Springs,Colorado,"464,474",506.6 km2,918/km2,38.8673°N 104.7607°W
Miami,Florida,"463,347",93.2 km2,"4,865/km2",25.7752°N 80.2086°W
Virginia Beach,Virginia,"450,435",633.8 km2,710/km2,36.7800°N 76.0252°W
Oakland,California,"425,195",144.8 km2,"2,901/km2",37.7698°N 122.2257°W
Minneapolis,Minnesota,"422,331",139.9 km2,"2,960/km2",44.9633°N 93.2683°W
Tulsa,Oklahoma,"401,800",509.7 km2,791/km2,36.1279°N 95.9023°W
Arlington,Texas,"396,394",248.1 km2,"1,600/km2",32.7007°N 97.1247°W
New Orleans,Louisiana,"393,292",438.7 km2,892/km2,30.0534°N 89.9345°W
Wichita,Kansas,"390,591",415.4 km2,939/km2,37.6907°N 97.3459°W
Cleveland,Ohio,"385,525",201.2 km2,"1,917/km2",41.4785°N 81.6794°W
Tampa,Florida,"385,430",293.7 km2,"1,284/km2",27.9701°N 82.4797°W
Bakersfield,California,"380,874",385.4 km2,976/km2,35.3212°N 119.0183°W
Aurora,Colorado,"366,623",397.6 km2,910/km2,39.6880°N 104.6897°W
Anaheim,California,"352,497",129.5 km2,"2,711/km2",33.8555°N 117.7601°W
Honolulu,Hawaii,"350,395",156.7 km2,"2,245/km2",21.3243°N 157.8476°W
Santa Ana,California,"334,136",70.2 km2,"4,762/km2",33.7363°N 117.8830°W
Riverside,California,"327,728",210.3 km2,"1,544/km2",33.9381°N 117.3932°W
Corpus Christi,Texas,"325,605",452.2 km2,720/km2,27.7543°N 97.1734°W
Lexington,Kentucky,"321,959",734.5 km2,434/km2,38.0407°N 84.4583°W
Stockton,California,"310,496",159.8 km2,"1,922/km2",37.9763°N 121.3133°W
St. Louis,Missouri,"308,626",160.6 km2,"1,939/km2",38.6357°N 90.2446°W
Saint Paul,Minnesota,"306,621",134.7 km2,"2,245/km2",44.9489°N 93.1041°W
Henderson,Nevada,"302,539",271.2 km2,"1,080/km2",36.0097°N 115.0357°W
Pittsburgh,Pennsylvania,"302,407",143.5 km2,"2,116/km2",40.4398°N 79.9766°W
Cincinnati,Ohio,"301,301",200.5 km2,"1,490/km2",39.1402°N 84.5058°W
Anchorage,Alaska,"294,356","4,420.1 km2",68/km2,61.1743°N 149.2843°W
Greensboro,North Carolina,"290,222",332.3 km2,864/km2,36.0951°N 79.8270°W
Plano,Texas,"286,143",185.7 km2,"1,540/km2",33.0508°N 96.7479°W
Newark,New Jersey,"285,154",62.4 km2,"4,514/km2",40.7242°N 74.1726°W
Lincoln,Nebraska,"284,736",238.5 km2,"1,175/km2",40.8105°N 96.6803°W
Orlando,Florida,"280,257",272.5 km2,"1,017/km2",28.4166°N 81.2736°W
Irvine,California,"277,453",169.9 km2,"1,566/km2",33.6784°N 117.7713°W
Toledo,Ohio,"276,491",209.0 km2,"1,332/km2",41.6641°N 83.5819°W
Jersey City,New Jersey,"270,753",38.3 km2,"6,891/km2",40.7114°N 74.0648°W
